 ,Label,Area
1,Untitled:0256-0256,1205
2,Untitled:0004-0412,9
3,Untitled:0006-0100,12
4,Untitled:0045-0100,6
5,Untitled:0028-0256,56
6,Untitled:0083-0256,11
7,Untitled:0075-0100,40
8,Untitled:0097-0100,2
9,Untitled:0071-0412,102
10,Untitled:0142-0100,18
11,Untitled:0143-0412,30
12,Untitled:0131-0256,68
13,Untitled:0190-0100,4
14,Untitled:0199-0100,13
15,Untitled:0194-0412,38
16,Untitled:0214-0256,77
17,Untitled:0247-0412,53
18,Untitled:0285-0256,47
19,Untitled:0268-0100,98
20,Untitled:0324-0100,4
21,Untitled:0304-0412,43
22,Untitled:0339-0256,41
23,Untitled:0356-0412,46
24,Untitled:0362-0100,58
25,Untitled:0392-0256,23
26,Untitled:0414-0100,32
27,Untitled:0410-0412,47
28,Untitled:0445-0256,61
29,Untitled:0475-0412,65
30,Untitled:0476-0100,72
31,Untitled:0497-0256,29
